Nome,Capital,População da Região Metropolitana da Capital,ID,Sigla,Densidade N,Estado,Região,Porcentagem Ar.,Área Total (km²),Densidade Populacional (habitantes/km²),Porcentagem pop.,População Total,Pop. Tot.,Número de Freguesias,Número de municípios,Porcentagem pop. Região Metropolitana Capital,Pop. MetCap.,Limites (DIREÇÃO),Primeiro Setor no PIB Províncial (%),Segundo Setor no PIB Províncial (%),Terceiro Setor no PIB Províncial (%),Desemprego,Principal atividade econômica de destaque,Qualidade de Infraestrutura (%),IDH,Nota de educação,"Gastos em P&D per capita (mil US$, 2019)",Gastos em P&D Totais (Mil US$ - 2020)
Sedri,Tiane,"9,6 milhões",55,SD,"97,01276042",Império do Lando,Oeste,"2,0469",252097,"97,01","3,37","24,4 milhões","24456625,86",11,133,"39,37","9628573,603","Gapia e Cirenu (N), Espala (L), Sópia (S), Maurinaica (SO), Orena (O)","2,09","19,39","78,52","4,34",Atividades gerais,92,"0,946","9,91","0,464",11347874401
Tiroles,Porti,"9,5 milhões",60,TR,"216,249784",Império da Laucidônia,Leste,"0,8338",102691,"216,25","3,06","22,2 milhões","22206906,57",14,131,"43,08","9566735,351","Nova Guinésia (N), Mar Sorene (L-SE), Audivia (S-SO), Alandina (O-NO)","3,7","22,85","73,45","2,92",Atividades gerais,92,"0,946","9,86","0,042",932690076
Palma,Galatia,"9,1 milhões",48,PM,"161,444984",Reino de Sarso,Centro-Norte,"0,9964",122717,"161,44","2,73","19,8 milhões","19812044,1",16,178,"46,05","9123446,307","Fenipra (N-L), Erena (S), Inspular (O), Bener (NO)","1,98","23,13","74,89","3,54",Indústria Aeronáutica,94,"0,947","9,75","0,767",15195837823
Inspular,Carene,"8,3 milhões",33,IS,"64,95064297",Império do Lando,Centro-Oeste,"2,7398",337435,"64,95","3,02","21,9 milhões","21916620,21",16,163,"38,31","8396257,203","Maida (N), Bener (NE), Palma (L), Estoci e Varene (S), Espala (O)","4,25","13,87","81,88","2,67",Indústria Militar,90,"0,949","9,33","1,065",23341200524
Naicania,Tabena,"7,5 milhões",44,NA,"184,739723",Império do Lando,Oeste,"0,8899",109600,"184,74","2,79","20,2 milhões","20247473,64",19,211,"37,25","7542183,93","Maurinaica (N), Sópia (L), Maurimidia (S), Distrito Sábrio (SO), Oceano Atlântico (O)","3,33","24,74","71,93","1,08",Atividades gerais,89,"0,941","9,49","0,532",10771655975
Coince,Récie,"6,9 milhões",12,CE,"60,95636519",Reino de Sarso,Norte,"2,813",346450,"60,96","2,91","21,1 milhões","21118332,72",10,96,"32,99","6966937,964","Mar do Credeal (NE), Matica (L), Redino (SE), Fepria (S), Fenipra (SO), Alta Ferdinandia (O)","1,73","21,96","76,31","4,73",Atividades gerais,91,"0,947","9,37","0,697",14719477905
Erena,Sefante,"6,6 milhões",17,ER,"53,17682157",Reino de Dalmaci e Naxo,Centro-Sul,"1,7951",221085,"53,18","1,62","11,7 milhões","11756597,6",12,142,"56,56","6649531,6","Palma (N), Fenipra (NE), Dátria (L), Votima (S), Carandia (SO), Estoci (O), Inspular (NO)","3,39","19,64","76,97","2,79",Atividades gerais,90,"0,941","9,08","0,796",9358251687
Ganya,Nanses,"6,1 milhões",26,GY,"22,18739302",Reino de Sarso,Norte,"3,3197",408856,"22,19","1,25","9,0 milhões","9071448,763",6,76,"67,69","6140463,667","Oceano Atlântico (N), Alta Ferdinandia (L), Fenipra (SE), Bener (S), Maida (SO), Etrubina (O), Calyfa (O-NO)","1,93","20,74","77,33","3,59",Atividades gerais,87,"0,939","9,78","0,564",5116297102
Seite,São Magnácio,"5,6 milhões",56,SE,"50,57883069",Reino de Dalmaci e Naxo,Sudoeste,"1,631",200875,"50,58","1,4","10,1 milhões","10160022,61",10,106,"55,33","5621540,512","Étrio (NE), Limone (L), Sarga (SE), Grenia (S), Lanisia (SO), Maurici (O), Maurimidia (NO)","3,05","25,74","71,21","3,22",Indústria automobilística,90,"0,943","9,85","0,563",5720092732
Cressa,Cirece,"5,1 milhões",13,CS,"30,96097624",Império da Laucidônia,Centro-Leste,"2,5122",309404,"30,96","1,32","9,5 milhões","9579449,893",11,128,"53,87","5160449,657","Alandina (N-L), Sorene (L-SE), Parena (S),Votima (SO-O), Datria (O-NO) ","4,87","21,39","73,74","4,88",Atividades gerais,84,"0,924","9,1","0,836",8008420111
Grenia,Sibran,"5,0 milhões",29,GE,"92,32314855",Reino de Dalmaci e Naxo,Sudoeste,"1,0531",129700,"92,32","1,65","11,9 milhões","11974312,37",11,128,"42,54","5093872,481","Seite (N), Sarga (L), Dalmaci (SE), Naxo (SO), Lanisia (O e NO)","1,74","30,44","67,82","2,19",Indústria automobilística,94,"0,942","9,32","1,479",17710007990
Etrubina,Élia,"4,8 milhões",22,EB,"63,15565594",Império do Lando,Centro-Oeste,"1,0263",126400,"63,16","1,1","7,9 milhões","7982874,911",14,180,"61,13","4879931,433","Alto Lando (N), Ganya (L), Maida (SE), Espala (S), Cirenu (O), Esorni (NO)","2,39","23,85","73,76","6,97",Atividades gerais,80,"0,934","8,75","0,543",4334701077
Lanisia,Lusinia,"4,6 milhões",36,LA,"61,02006381",Reino de Dalmaci e Naxo,Sudoeste,"2,2017",271162,"61,02","2,28","16,5 milhões","16546322,54",8,72,"27,89","4614769,357","Maurici (N), Seite (L), Grenia (SE), Naxo (S), Oceano Atlântico (O)","9,71","17,55","72,74","3,44",Indústria Petroquímica,89,"0,943","9,42","0,731",12095361779
Sarga,Sarga,"4,3 milhões",54,SG,"45,24227375",Reino de Dalmaci e Naxo,Sudoeste,"1,1852",145970,"45,24","0,91","6,6 milhões","6604014,699",11,97,"65,46","4322988,022","Limone (N), Cardria (NE), San Cleroriano (L), Gerete (SE), Dalmaci (S), Grenia (O), Seite (NO)","3,93","23,63","72,44","2,41",Atividades gerais,89,"0,942","9,69","0,479",3163323041
Étrio,Bautio,"4,1 milhões",21,ET,"31,82046298",Império do Lando,Centro-Oeste,"2,8147",346660,"31,82","1,52","11,0 milhões","11030881,7",7,89,"37,88","4178497,986","Espala (N), Varene (L), Limone (SE e S), Seite (SO), Maurimidia e Sópia (O)","2,69","26,94","70,37","2,61",Atividades gerais,90,"0,94","9,17","0,823",9078415635
Dalmaci,Trelão,"4,1 milhões",14,DA,"76,67129666",Reino de Dalmaci e Naxo,Sudoeste,"1,4679",180787,"76,67","1,91","13,8 milhões","13861173,71",13,121,"29,7","4116768,592","Sarga (N), Gerete (L), Mar do Sul (S), Naxo (O), Grenia (NO)","13,5","33,9","52,6","2,45",Indústria Petroquímica,93,"0,942","9,74","0,783",10853299014
Esorni,Cirene,"4,0 milhões",18,EN,"19,51765785",Império do Lando,Noroeste,"2,5058",308615,"19,52","0,83","6,0 milhões","6023441,978",12,164,"67,59","4071244,433","Oceano Atlântico (NO-N-NE), Alto Lando (L), Etrubina (SE), Cirenu (SE-S), Gapia (S-SO), Golfo do Esorni (O)","0,94","19,74","79,32","1,71",Atividades gerais,93,"0,943","9,14","0,71",4276643805
Nova Guinésia,Acro,"3,9 milhões",46,NG,"107,7795893",Império da Laucidônia,Leste,"1,1645",143420,"107,78","2,13","15,4 milhões","15457748,69",17,155,"25,81","3989644,937","País de Sentilhe (NE-L), Mar Sorene (SE), Tiroles (S), Abastia (O)","11,01","33,55","55,44","5,15",Indústria de Semicondutores,91,"0,946","9,26","1,364",21084369215
Varene,Sirme,"3,7 milhões",61,VR,"70,86080774",Império do Lando,Centro-Oeste,"1,3388",164887,"70,86","1,61","11,6 milhões","11684026,01",14,139,"32,42","3787961,231","Inspular (N), Estoci (L), Limone (S), Étrio (O), Espala (NO)","2,93","23,55","73,52","4,81",Atividades gerais,88,"0,943","9,23","0,564",6589790667
Sorene,Femo,"3,7 milhões",58,SR,"27,59030789",Império da Laucidônia,Leste,"1,6872",207796,"27,59","0,79","5,7 milhões","5733155,618",10,91,"65,41","3750057,09","Alandina (N), Audivia (NO-L), Mar Sorene (L-SE), Mar do Sul (S-SO), Parena (SO-O), Cressa (O-NO)","1,94","21,84","76,22","3,94",Atividades gerais,87,"0,941","8,99","0,402",2304728558
Estoci,Sólio,"3,7 milhões",20,EC,"24,96801668",Reino de Dalmaci e Naxo,Centro-Sul,"1,5812",194741,"24,97","0,67","4,8 milhões","4862296,537",7,87,"76,54","3721601,769","Inspular (N), Erena (L), Carandia (S), Cardria (SO), Limone (SO-O), Varene (O)","1,89","23,95","74,16","3,82",Atividades gerais,90,"0,946","9,55","0,498",2421423675
Alto Lando,Arento,"3,6 milhões",4,AL,"105,9512428",Império do Lando,Noroeste,"0,8231",101373,"105,95","1,48","10,7 milhões","10740595,33",15,142,"34,1","3662543,009","Oceano Atlântico (N), Calyfa (L), Ganya (SE), Etrubina (S), Alto Lando (O)","4,82","21,74","73,44","3,63",Atividades gerais,94,"0,949","9,56","0,632",6788056252
Calyfa,Chiro,"3,5 milhões",8,CY,"48,84847291",Reino de Sarso,Norte,"0,6152",75768,"48,85","0,51","3,7 milhões","3701151,095",4,45,"95,08","3519054,461","Oceano Atlântico (N), Ganya (L-S), Alto Lando (O)","0,91","16,44","82,65","3,36",Indústria de joalheria,92,"0,952","9,46","0,113","418230073,7"
Dátria,Mautio,"3,1 milhões",15,DT,"21,07163534",Reino de Dalmaci e Naxo,Centro-Sul,"2,0134",247971,"21,07","0,72","5,2 milhões","5225154,487",13,100,"60,31","3151290,671","Fepria (N-NE), Robene (NE), Cressa (L-SE), Votima (S), Erena (O), Fenipra (NO-N)","3,35","18,34","78,31","2,72",Atividades gerais,86,"0,941","8,79","0,56",2926086513
Redino,San Pietro,"3,0 milhões",51,RD,"36,3936526",Reino de Sarso,Nordeste,"0,8905",109674,"36,39","0,55","3,9 milhões","3991437,456",10,134,"76,63","3058638,522","Matica (N), Jolene (L), Robene (S), Fepria (SO-O), Coince (O-NO)","1,84","21,64","76,52","2,73",Atividades gerais,89,"0,942","9,27","0,361",1440908921
Fepria,Core,"3,0 milhões",24,FP,"50,81923488",Reino de Sarso,Centro-Norte,"1,3682",168508,"50,82","1,18","8,5 milhões","8563447,632",8,79,"35,26","3019471,635","Coince (N), Redino (NE), Robene (SE-S), Datria (S-SO), Fenipra (O)","1,8","26,53","71,67","2,97",Atividades gerais,89,"0,941","9,3","0,669",5728946466
Abastia,Ceres,"2,6 milhões",1,AB,"12,4705483",Império da Laucidônia,Centro-Leste,"2,6933",331708,"12,47","0,57","4,1 milhões","4136580,636",6,84,"64,7","2676367,671","Munina (N), Nova Guinésia (NE-L), Tiroles (L-SE), Audivia (SE-S), Alandina (S-O), Robene (O-NO), Redino (NO)","1,46","24,7","73,84","3,46",Atividades gerais,86,"0,941","8,83","0,716",2961791735
Matica,Peropólis,"2,1 milhões",39,MA,"23,2401488",Reino de Sarso,Nordeste,"1,1156",137398,"23,24","0,44","3,1 milhões","3193149,964",8,113,"68,15","2176131,701","Mar do Credeal (N), Kali (L), Jolene (SE-S), Redino (S-SO), Coince (O)","2,44","17,37","80,19","1,34",Atividades gerais,92,"0,938","9,34","0,447",1427338034
Jolene,Renem,"2,1 milhões",34,JE,"21,80482559",Reino de Sarso,Nordeste,"0,9188",113160,"21,80","0,34","2,4 milhões","2467434,063",13,124,"86,99","2146420,892","Kali (N-NE), Munina (L), Abastia (SE), Robene (SO), Redino (O), Matica (NO)","2,2","28,36","69,44","2,76",Atividades gerais,87,"0,938","8,94","0,448",1105410460
Carandia,Castu,"2,0 milhões",9,CD,"9,665644242",Reino de Dalmaci e Naxo,Sul,"2,1337",262787,"9,67","0,35","2,5 milhões","2540005,654",13,157,"81,99","2082550,635","Erena (NE), Votima (L), Fernone (SE), Tarastina (S), Cardria (O), Estoci (NO-N)","1,75","23,84","74,41","5,31",Atividades gerais,82,"0,921","7,12","0,016","40640090,46"
Maurici,Hemero,"2,0 milhões",40,MC,"14,25891973",Reino de Dalmaci e Naxo,Sudoeste,"2,5208",310463,"14,26","0,61","4,4 milhões","4426866,996",15,107,"46,58","2062034,647","Maurimidia (N), Seite (L), Lanisia (S), Oceano Atlântico (O)","1,18","27,87","70,95","2,51",Atividades gerais,90,"0,943","9,75","1,056",4674771548
Sópia,Jéria,"2,0 milhões",57,SP,"15,39146514",Império do Lando,Oeste,"1,4165",174457,"15,39","0,37","2,6 milhões","2685148,834",12,134,"76,23","2046888,956","Sedri (N), Espala (NE), Étrio (L), Maurimidia (S), Naicania (SO-O), Maurinaica (O-NO)","2,33","17,51","80,16","2,98",Atividades gerais,90,"0,949","9,76","0,79",2121267579
Bener,Borosforo,"2,0 milhões",7,BE,"19,0770782",Reino de Sarso,Centro-Norte,"1,2355",152165,"19,08","0,4","2,9 milhões","2902863,604",9,84,"70,43","2044486,836","Ganya (N), Fenipra (L), Palma (SE), Inspular (SO), Maida (O)","1,95","19,54","78,51","2,87",Atividades gerais,86,"0,943","9,2","0,435",1262745668
Cirenu,Lisoa,"1,9 milhão",11,CI,"39,72985147",Império do Lando,Noroeste,"1,4683",180836,"39,73","0,99","7,1 milhões","7184587,42",9,105,"26,49","1903197,208","Esorni (N), Etrubina (NE-L), Espala (L-SE), Sedri (S), Gapia (O)","1,29","21,87","76,84","3,16",Atividades gerais,91,"0,943","9,21","0,413",2967234604
Robene,Caraném,"1,9 milhão",52,RB,"15,48377434",Império da Laucidônia,Centro-Leste,"1,37",168730,"15,48","0,36","2,6 milhões","2612577,244",11,115,"72,74","1900388,687","Redino (N-NE), Jolene (NE), Abastia (L), Alandina (L-SE), Cressa (S), Datria (SO), Fepria (NO)","2,36","24,79","72,85","1,64",Atividades gerais,87,"0,937","9,18","0,456",1191335223
Maurimidia,Zarasqueio,"1,8 milhão",41,MM,"13,9521398",Império do Lando,Oeste,"1,9005",234066,"13,95","0,45","3,2 milhões","3265721,555",6,81,"56,25","1836968,374","Naicania (N), Sópia (NE), Étrio (L), Seite (SE), Maurici (S), Oceano Atlântico (O), Distrito Sábrio (NO)","1,43","22,46","76,11","2,95",Atividades gerais,93,"0,942","9,42","0,811",2648500181
Cardria,Colontia,"1,7 milhão",10,CR,"10,94658031",Reino de Dalmaci e Naxo,Sul,"1,6687",205518,"10,95","0,31","2,2 milhões","2249719,293",7,51,"76,82","1728234,361","Estoci (N), Carandia (NE-L), Tarastina (SE), San Cleroriano (S), Sarga (SO), Limone (NO)","5,73","23,73","70,54","3,31",Atividades gerais,85,"0,923","8,42","0,231","519685156,7"
Gapia,Lisene,"1,6 milhão",27,GA,"29,45508824",Império do Lando,Noroeste,"0,8202",101016,"29,46","0,41","2,9 milhões","2975435,194",12,152,"55,99","1665946,165","Esorni (NE), Cirenu (L), Sedri (S), Orena (SO), Assipi (O), Golfo do Esorni (NO)","0,84","17,61","81,55","3,61",Atividades gerais,90,"0,945","9,57","0,41",1219928430
Maida,Miranda,"1,6 milhão",38,MD,"25,96034858",Império do Lando,Centro-Oeste,"1,0441",128592,"25,96","0,46","3,3 milhões","3338293,145",11,122,"49,35","1647447,667","Ganya (N-NE), Bener (L), Inspular (S), Espala (O), Etrubina (O-NO)","3,74","18,74","77,52","4,97",Atividades gerais,90,"0,939","9,04","0,563",1879459040
Gerete,Mestele,"1,6 milhão",28,GT,"24,96786283",Reino de Dalmaci e Naxo,Sul,"0,59",72665,"24,97","0,25","1,8 milhão","1814289,753",3,21,"90,15","1635582,212","San Cleroriano (N-L), Mar do Sul (S), Dalmaci (O), Sarga (NO-N)","1,23","17,53","81,24","3,94",Indústria Petroquímica,84,"0,929","9,58","0,331","600529908,1"
Kali,Timune,"1,4 milhão",35,KI,"18,32105398",Reino de Sarso,Nordeste,"0,9327",114872,"18,32","0,29","2,1 milhões","2104576,113",9,85,"67,52","1421009,791","Mar do Credeal (N), Guinésia (L), Munina (SE-S), Jolene (S-SO), Matica (O)","2,34","21,07","76,59","3,86",Atividades gerais,86,"0,94","8,96","0,417","877608239,1"
Munina,Farápia,"1,2 milhão",43,MU,"19,03350704",Reino de Sarso,Nordeste,"0,743",91508,"19,03","0,24","1,7 milhão","1741718,162",10,99,"71,46","1244631,799","Kali (N), Guinésia (L), Abastia (S), Jolene (O)","1,7","21,29","77,01","2,66",Atividades gerais,91,"0,94","8,98","0,561","977103889,1"
Fernone,Équilo,"1,1 milhão",25,FN,"8,020568613",Reino de Dalmaci e Naxo,Sul,"1,9836",244301,"8,02","0,27","1,9 milhão","1959432,933",6,75,"57,7","1130592,802","Carandia (N), Votima (L), Mar do Sul (S), Tarastina (O)","1,31","23,32","75,37","4,64",Atividades gerais,84,"0,923","8,28","0,034","66620719,71"
Limone,Loupi,"1,1 milhão",37,LM,"8,607146978",Reino de Dalmaci e Naxo,Sudoeste,"1,3692",168631,"8,61","0,2","1,4 milhão","1451431,802",6,73,"76,07","1104104,172","Varene (N-NE), Estoci (NE), Cardria (L-SE), Sarga (S), Seite (O), Étrio (N)","2,15","24,31","73,54","5,62",Atividades gerais,86,"0,929","8,58","0,355","515258289,7"
Alandina,Oliber,"1,0 milhão",2,AD,"4,35577637",Império da Laucidônia,Centro-Leste,"2,5703",316559,"4,36","0,19","1,3 milhão","1378860,212",5,66,"76,37","1053035,544","Abastia (NE-L), Audivia (SE), Sorene (S), Cressa (So-O), Robene (O-NO) ","1,35","28,54","70,11","2,05",Atividades gerais,91,"0,938","9,13","0,419","577742428,8"
Parena,Espatine,"1,0 milhão",49,PA,"4,614290924",Império da Laucidônia,Centro-Leste,"2,6817",330279,"4,61","0,21","1,5 milhão","1524003,392",8,93,"67,92","1035103,104","Cressa (N), Sorene (L), Mar do Sul (S), Votima (O)","4,26","24,77","70,97","5,84",Atividades gerais,82,"0,94","7,96","0,033","50292111,94"
San Cleroriano,Temana,"1,0 milhão",53,SC,"6,730380538",Reino de Dalmaci e Naxo,Sul,"1,4008",172523,"6,73","0,16","1,1 milhão","1161145,442",7,70,"88,18","1023898,05","Cardria (N), Tarastina (L), Mar do Sul (S), Gerete (SO-O), Sarga (O)","4,78","23,54","71,68","4,51",Atividades gerais,82,"0,925","7,85","0,099","114953398,7"
Votima,Corboa,"832,0 mil",62,VT,"2,363867943",Reino de Dalmaci e Naxo,Sul,"3,4898",429805,"2,36","0,14","1,0 milhão","1016002,261",4,52,"81,89","832004,2519","Datria (N-NE), Cressa (NE-L), Parena (L-SE), Mar do Sul (S), Fernone (SO-O), Carandia (O-NO), Erena (NO-N)","5,28","19,71","75,01","4,12",Atividades gerais,83,"0,919","7,97","0,094","95504212,57"
Tarastina,Portmas,"547,2 mil",59,TA,"3,264811488",Reino de Dalmaci e Naxo,Sul,"2,1658",266741,"3,26","0,12","870,8 mil","870859,0812",6,71,"62,84","547247,8466","Carandia (N), Fernone (L), Mar do Sul (S), San Cleroriano (O), Cardria (NO)","3,93","18,55","77,52","4,62",Atividades gerais,81,"0,923","8,25","0,117","101890512,5"
Guyana Landesa,Cidade da Guyana,"300,3 mil",32,GL,"3,375909554",Principado da Guyana,Províncias Ultramarinas (América do Sul),0,214969,"3,38","0,1","725,7 mil","725715,901",10,53,"41,39","300373,8114","Mar do Caribe (N), Guyana do Suriname (L), País do Brasil (S), País da Venezuela (O)","20,26","34,81","44,93","11,64",Atividades gerais,80,"0,714","5,32","0,046","33382931,45"
Guyana do Suriname,Paramaribo,"250,7 mil",31,GS,"3,100990305",Principado da Guyana,Províncias Ultramarinas (América do Sul),0,163819,"3,10","0,07","508,0 mil","508001,1307",10,62,"49,36","250749,3581","Mar do Caribe (N), Guiana Francesa - País da França (L), País do Brasil (S), Guyana Landesa (O)","10,46","36,62","52,92","7,47",Atividades gerais,76,"0,73","5,15","0,015","7620016,961"
Polinésia Landesa,Teliane,"145,1 mil",50,PL,"37,55321609",União,Províncias Ultramarinas (Oceania),0,3865,"37,55","0,02","145,1 mil","145143,1802",1,3,100,"145143,1802",Oceano Pacífico (ilha),"10,67","3,78","85,55","5,93","Turismo, pesca",79,"0,752","7,66","0,002","290286,3604"
